ymd,last_date,event_most_recent,v_max,v_min,transaction_count,med_delta_t,cum_time,recency
2022-02-23,2022-02-23 23:59:19,2022-02-23 19:58:19,197.9,197.9,1,1.0000000000000002,60s,241.0
2022-02-24,2022-02-24 23:59:41,2022-02-24 18:50:22,197.85,186.44,15,1.0000000000000002,900s,309.31666666666666
2022-02-25,2022-02-25 23:59:10,2022-02-25 20:15:08,197.97,195.0,10,1.0000000000000002,600s,224.03333333333333
2022-02-26,2022-02-26 11:08:44,2022-02-26 09:59:23,193.74,193.74,1,1.0000000000000002,60s,69.35
2022-03-01,2022-03-01 23:59:25,2022-03-01 21:59:51,197.72,179.34,43,1.0000000000000002,2580s,119.56666666666666
2022-03-02,2022-03-02 23:59:58,2022-03-02 23:57:58,197.78,188.28,45,1.0000000000000002,2700s,2.0000000000000004
2022-03-03,2022-03-03 23:59:14,2022-03-03 20:11:16,197.62,189.24,26,1.0000000000000002,1560s,227.96666666666667
2022-03-04,2022-03-04 23:59:59,2022-03-04 19:29:51,197.94,179.81,43,1.0000000000000002,2580s,270.1333333333334
2022-03-06,2022-03-06 23:59:18,2022-03-06 23:23:10,197.88,192.01,15,1.0000000000000002,900s,36.13333333333333
2022-03-07,2022-03-07 23:59:32,2022-03-07 18:40:28,197.96,170.63,70,1.0000000000000002,4200s,319.06666666666666
2022-03-08,2022-03-08 23:58:10,2022-03-08 21:16:39,197.88,189.63,27,1.0000000000000002,1620s,161.51666666666668
2022-03-09,2022-03-09 23:59:47,2022-03-09 18:34:30,197.7,193.56,14,1.0000000000000002,840s,325.28333333333336
2022-03-10,2022-03-10 23:59:10,2022-03-10 20:44:23,197.93,176.13,111,1.0000000000000002,6660s,194.78333333333333
2022-03-11,2022-03-11 23:59:44,2022-03-11 17:22:00,198.0,189.13,27,1.0000000000000002,1620s,397.73333333333335
2022-03-12,2022-03-12 23:59:45,2022-03-12 21:46:14,197.88,185.48,24,1.0000000000000002,1440s,133.51666666666668
2022-03-14,2022-03-14 23:59:34,2022-03-14 21:28:02,198.0,175.45,78,1.0000000000000002,4680s,151.53333333333333
2022-03-15,2022-03-15 23:59:15,2022-03-15 19:42:12,197.87,171.92,43,1.0000000000000002,2580s,257.05
2022-03-16,2022-03-16 23:59:03,2022-03-16 18:56:53,197.95,186.92,10,1.0000000000000002,600s,302.1666666666667
2022-03-17,2022-03-17 23:59:13,2022-03-17 11:21:04,197.65,187.19,14,1.0000000000000002,840s,758.15
2022-03-18,2022-03-18 23:59:37,2022-03-18 20:13:48,197.44,188.13,12,1.0000000000000002,720s,225.81666666666666
2022-03-19,2022-03-19 23:59:00,2022-03-19 21:18:24,197.99,192.51,15,1.0000000000000002,900s,160.6
2022-03-20,2022-03-20 23:59:33,2022-03-20 21:46:05,196.3,187.82,9,1.0000000000000002,540s,133.46666666666667
2022-03-21,2022-03-21 23:59:38,2022-03-21 21:45:10,197.75,187.8,11,1.0000000000000002,660s,134.46666666666667
2022-03-22,2022-03-22 23:59:16,2022-03-22 19:55:16,197.87,186.75,26,1.0000000000000002,1560s,244.00000000000003
2022-03-23,2022-03-23 23:59:00,2022-03-23 22:35:40,197.83,188.62,14,1.0000000000000002,840s,83.33333333333333
